source,reliability,bias
The Hill Bias and Reliability,41.94,-1.29
The Holy Post Podcast Bias and Reliability,33.56,-9.89
The Independent Bias and Reliability,38.37,-6.99
The Ingraham Angle Bias and Reliability,20.22,25.23
The Intercept Bias and Reliability,37.46,-14.1
The Jimmy Dore Show Bias and Reliability,12.33,-25.07
The Joe Rogan Experience Bias and Reliability,17.71,6.88
The Journal Editorial Report Bias and Reliability,39.89,8.22
The Journal. Bias and Reliability,48.87,-0.27
The Katie Phang Show Bias and Reliability,33.83,-17.0
The Larry Elder Show Bias and Reliability,27.89,19.5
The Larry Kudlow Show Bias and Reliability,22.41,19.0
The Last Refuge Bias and Reliability,18.89,22.02
The Last Word with Lawrence O’Donnell Bias and Reliability,28.25,-19.88
The Lawfare Podcast Bias and Reliability,41.33,-5.56
The Lead with Jake Tapper Bias and Reliability,36.9,-15.19
The Libertarian Bias and Reliability,38.22,1.67
The Libertarian Republic Bias and Reliability,33.06,11.25
The Liberty Loft Bias and Reliability,20.99,18.67
The Lincoln Project Bias and Reliability,27.33,-10.71
The Listening Post Bias and Reliability,34.53,-10.56
The Majority Report with Sam Seder Bias and Reliability,35.22,-17.42
The Mark Levin Show Bias and Reliability,10.35,30.47
The Mary Trump Show Bias and Reliability,20.33,-20.25
The Matt Walsh Show Bias and Reliability,19.16,24.52
The McCarthy Report Bias and Reliability,42.67,7.67
The Media Roundtable with Dan Granger Bias and Reliability,40.11,1.56
The Megyn Kelly Show Bias and Reliability,29.56,15.06
The Mehdi Hasan Show Bias and Reliability,31.0,-19.0
The MeidasTouch Podcast Bias and Reliability,24.95,-18.39
The Messenger Bias and Reliability,40.7,4.89
The Michael Knowles Show Bias and Reliability,16.78,25.94
The Michael Savage Show Bias and Reliability,12.6,26.94
The Minnesota Star Tribune Bias and Reliability,46.15,-3.12
The Mirror Bias and Reliability,26.88,-3.38
The Moscow Times Bias and Reliability,44.53,-0.02
The Mother Jones Podcast Bias and Reliability,38.89,-10.56
The Motley Fool Bias and Reliability,42.37,-0.44
The Nation Bias and Reliability,31.32,-19.23
The New Abnormal Bias and Reliability,15.42,-23.2
The New American Bias and Reliability,15.21,22.55
The New York Times Bias and Reliability,40.94,-7.94
The New Yorker Bias and Reliability,40.91,-12.25
The New Yorker Radio Hour Bias and Reliability,44.55,-11.65
The News & Why It Matters Bias and Reliability,20.14,22.29
The News with Shepard Smith Bias and Reliability,44.28,-9.3
The Next Revolution with Steve Hilton Bias and Reliability,23.39,25.86
The NPR Politics Podcast Bias and Reliability,42.67,-6.31
The Oregonian Bias and Reliability,46.27,-3.82
The Patriot Post Bias and Reliability,18.87,19.6
The People’s Voice Bias and Reliability,14.27,24.69
The PoliticsGirl Podcast Bias and Reliability,23.44,-18.87
The President’s Inbox Bias and Reliability,44.44,-1.67
The Problem With Jon Stewart Bias and Reliability,28.61,-16.33
The Progressive Bias and Reliability,32.61,-16.75
The Rachel Maddow Show Bias and Reliability,36.71,-17.67
The Real Story Bias and Reliability,46.89,-1.44
The Realignment Bias and Reliability,39.89,1.33
The Reason Roundtable Bias and Reliability,36.87,6.21
The Record with Greta Van Susteren Bias and Reliability,32.6,14.67
The ReidOut Bias and Reliability,23.53,-21.18
The Remnant Bias and Reliability,38.67,6.22
The Right Scoop Bias and Reliability,21.35,22.42
The Right View with Lara Trump Bias and Reliability,25.89,18.87
The Root Bias and Reliability,26.43,-18.51
The Rubin Report Bias and Reliability,22.24,22.97
The Sean Hannity Show Bias and Reliability,14.52,24.52
The Sharyl Attkisson Podcast Bias and Reliability,38.11,6.28
The Situation Room Bias and Reliability,42.04,-11.59
The Skepticrat Bias and Reliability,15.09,-26.2
The Skimm Bias and Reliability,42.76,-6.67
The Smerconish Podcast Bias and Reliability,38.83,-3.76
The Social Contract with Joe Walsh Bias and Reliability,34.11,-11.11
The Story Bias and Reliability,41.22,-1.89
The Story with Martha MacCallum Bias and Reliability,34.73,15.44
The Stranger Bias and Reliability,36.49,-18.39
The Stream Bias and Reliability,19.41,22.92
The Stream TV Show Bias and Reliability,29.17,-22.47
The Sunday Show with Jonathan Capehart Bias and Reliability,33.58,-15.33
The Takeout Bias and Reliability,45.42,-2.42
The Trace Bias and Reliability,45.57,-7.09
The Trey Gowdy Podcast Bias and Reliability,41.58,5.38
The Trish Regan Show Bias and Reliability,16.99,23.52
The Verge Bias and Reliability,39.43,-4.75
The View Bias and Reliability,25.86,-20.12
The Village Voice Bias and Reliability,43.02,-7.91
The Water Cooler with David Brody Bias and Reliability,24.59,21.07
The Weather Channel Bias and Reliability,46.2,-1.85
The Weeds Bias and Reliability,41.11,-8.33
The Week Bias and Reliability,38.32,-10.75
The Week on the Hill Bias and Reliability,43.78,-0.33
The World According to Jesse Bias and Reliability,35.0,-13.78
The World and Everything In It Bias and Reliability,39.13,11.45
The Wrap Bias and Reliability,37.42,-5.98
The Young Turks Bias and Reliability,25.16,-24.96
TheGrio Bias and Reliability,39.55,-10.82
This American Life Bias and Reliability,40.2,-9.17
Tim Pool Daily Show Bias and Reliability,13.07,22.44
Time Magazine Bias and Reliability,41.12,-7.42
TIME’s The Brief Bias and Reliability,42.78,-5.61
Tipping Point Bias and Reliability,14.9,26.94
TMZ Bias and Reliability,34.94,-4.67
Today in Focus Bias and Reliability,41.78,-3.67
Today with Hoda & Jenna Bias and Reliability,33.56,-0.56
"Today, Explained Bias and Reliability",42.06,-13.42
Townhall Bias and Reliability,24.95,19.79
Trending Politics Bias and Reliability,23.05,17.45
Trib Live Bias and Reliability,47.01,-1.04
True Pundit Bias and Reliability,37.42,8.05
Truth Over News Bias and Reliability,28.33,17.42
Truthout Bias and Reliability,34.51,-16.87
Tucker Carlson Today Bias and Reliability,23.28,14.67
Tucker Carlson Tonight Bias and Reliability,19.07,23.89
Tucker on X Bias and Reliability,12.69,21.14
Turley Talks Bias and Reliability,22.07,22.74
Turning Point USA Bias and Reliability,20.6,16.97
Twitchy Bias and Reliability,17.77,21.0
TYT: The Conversation Bias and Reliability,21.52,-24.17
UN News Bias and Reliability,44.26,-4.68
UNDISTRACTED with Brittany Packnett Cunningham Bias and Reliability,32.11,-15.67
Unfiltered with Dan Bongino Bias and Reliability,18.89,22.11
Unlocking Us with Brene Brown Bias and Reliability,30.44,-21.8
Up First Bias and Reliability,44.19,-9.51
UpFront Bias and Reliability,39.47,-13.21
UPI Bias and Reliability,45.5,-1.18
UPROXX Bias and Reliability,34.69,-14.87
Upworthy Bias and Reliability,39.86,-5.57
US News and World Report Bias and Reliability,43.83,-2.9
US Weekly Bias and Reliability,36.76,0.04
USA Today Bias and Reliability,40.78,-4.12
Useful Idiots Bias and Reliability,13.02,-23.13
Vanity Fair Bias and Reliability,33.19,-13.87
Variety Bias and Reliability,41.29,-3.85
Verdict with Ted Cruz Bias and Reliability,27.0,18.87
Veterans of Foreign Wars VFW Bias and Reliability,40.88,-0.1
Vice Bias and Reliability,38.96,-9.39
Vogue Bias and Reliability,39.13,-10.91
Voice of America Bias and Reliability,46.29,-3.24
Vox Bias and Reliability,39.59,-10.05
VT Foreign Policy Bias and Reliability,9.04,10.95
Vulture Bias and Reliability,38.72,-7.96
Wait Wait … Don’t Tell Me Bias and Reliability,34.67,-4.08
Wake Up America Bias and Reliability,17.49,21.33
Wall Street Journal Bias and Reliability,43.28,4.55
War on the Rocks Bias and Reliability,40.02,1.5
Washington Blade Bias and Reliability,42.71,-7.49
Washington Examiner Bias and Reliability,34.07,11.3
Washington Free Beacon Bias and Reliability,23.47,14.45
Washington Journal Bias and Reliability,35.44,-3.44
Washington Monthly Bias and Reliability,35.78,-12.08
Washington Post Bias and Reliability,38.8,-6.85
Washington Times Bias and Reliability,34.92,11.31
Washington Week Bias and Reliability,41.56,-6.81
Washington’s Top News Bias and Reliability,46.27,-0.26
Washingtonian Bias and Reliability,42.98,-2.62
Watters’ World Bias and Reliability,29.33,19.0
Watts Up With That? Bias and Reliability,25.52,13.76
Weasel Zippers Bias and Reliability,25.38,13.42
Western Journal Bias and Reliability,21.77,19.53
What A Day Bias and Reliability,36.93,-16.11
What Next Bias and Reliability,42.67,-7.21
What the Hell is Going On? Bias and Reliability,34.56,11.56
What’s News Bias and Reliability,46.27,0.27
Who What Why Bias and Reliability,36.05,-12.94
Why Is This Happening? with Chris Hayes Bias and Reliability,40.83,-13.42
Why It Matters Bias and Reliability,47.78,-1.0
WIRED Bias and Reliability,36.77,-7.24
Witness Bias and Reliability,51.93,-13.96
WND Bias and Reliability,13.06,21.0
Wonkette Bias and Reliability,20.03,-25.18
World Socialist Web Site Bias and Reliability,30.4,-25.6
WorldTruth.TV Bias and Reliability,8.52,25.64
X22 Report Bias and Reliability,6.59,34.48
Yahoo News Bias and Reliability,41.17,-5.69
Yes! Magazine Bias and Reliability,39.57,-14.64
You and Me Both with Hillary Clinton Bias and Reliability,31.11,-13.11
Your Money Briefing Bias and Reliability,44.87,-0.2
Your World with Neil Cavuto Bias and Reliability,36.58,13.53
ZeroHedge Bias and Reliability,20.78,16.08
BBC World News America Bias and Reliability,,-3.78
